layer,index,singular_value
8,28,165.93840104150863
8,29,156.7503548142012
8,30,151.12336683207127
8,31,148.05078766230073
8,32,144.28342830345093
8,33,140.59295645103558
8,34,137.64177299729718
8,35,134.8425011583521
8,36,131.14814267036962
8,37,129.2722554175811
8,38,126.21190158661676
8,39,123.65329856606094
8,40,118.59028049347424
8,41,117.90988150720473
8,42,114.6000326845542
8,43,112.92231352657855
8,44,110.29544233691743
8,45,108.6906613579615
8,46,105.26097579700202
8,47,104.39283587490087
8,48,102.3593229802
8,49,101.17230356809796
8,50,98.13679590136337
8,51,95.35090701397222
8,52,93.14442615707478
8,53,91.37110040946467
8,54,90.74409935067852
8,55,89.3386125383007
8,56,86.48169382053511
8,57,85.56229080306203
8,58,83.73506041065632
8,59,82.41606955621805
8,60,80.1094866494965
8,61,78.43415784805183
8,62,77.18931586083959
8,63,76.14119072596775
8,64,74.59621403490553
8,65,73.78504798104709
8,66,71.89805152668929
8,67,69.39563248893265
8,68,68.57715332078638
8,69,68.00802481652795
8,70,66.6819354875342
8,71,65.85019888159387
8,72,64.72482292660872
8,73,63.294857447508754
8,74,61.81892534268887
8,75,60.25823230963109
8,76,60.02653223725577
8,77,59.26025461675514
8,78,58.36885744492714
8,79,56.827886008281055
8,80,55.245968338653825
8,81,52.571305554010756
8,82,52.49411438324153
8,83,51.654469726788534
8,84,50.462670704358956
8,85,45.7611908374214
8,86,42.57394491218398
8,87,38.97538130926412
8,88,37.13787301783062
8,89,34.55333573526449
8,90,33.084884026711286
8,91,32.17707707717784
8,92,30.791702656604187
8,93,30.092160897502605
8,94,28.465903006282534
8,95,27.886010964312746
8,96,22.79581650970911
8,97,21.680669632574833
8,98,20.34389142548702
8,99,19.989115347451637
8,100,19.726547253031484
8,101,14.931953224895345
8,102,12.454229711369146
8,103,10.808743919605067
8,104,10.634798243071115
8,105,9.684748123397048
8,106,7.854060909637574
8,107,7.666280912712867
8,108,6.256423962193775
8,109,6.19348967933748
8,110,6.07280363715142
8,111,5.861458704172227
8,112,5.679046889202258
